endTime,artistName,trackName,msPlayed,weekday,hour
2019-01-03 11:41:00,Queen,Under Pressure - Remastered,35702,Thursday,11
2019-01-03 11:41:00,Queen,Crazy Little Thing Called Love - Remastered 2011,163373,Thursday,11
2019-01-03 11:43:00,Queen,Lazing On A Sunday Afternoon - Remastered 2011,67400,Thursday,11
2019-01-03 11:46:00,Queen,'39 - 2011 Mix,210800,Thursday,11
2019-01-03 11:49:00,Queen,You're My Best Friend - Remastered 2011,170786,Thursday,11
2019-01-03 11:53:00,Queen,'39 - 2011 Mix,210800,Thursday,11
2019-01-03 11:57:00,Queen,Sweet Lady - Remastered 2011,242120,Thursday,11
2019-01-03 11:59:00,Queen,Seaside Rendezvous - Remastered 2011,134120,Thursday,11
2019-01-03 12:04:00,Queen,The Prophet's Song - Remastered 2011,282142,Thursday,12
2019-01-03 12:07:00,Queen,Love Of My Life - Remastered 2011,217386,Thursday,12
2019-01-03 12:08:00,Queen,Good Company - Remastered 2011,64403,Thursday,12
2019-01-03 12:14:00,Queen,Bohemian Rhapsody - 2011 Mix,354320,Thursday,12
2019-01-03 12:16:00,Queen,God Save The Queen - Remastered 2011,75333,Thursday,12
2019-01-03 12:20:00,Queen,Keep Yourself Alive - Long Lost Retake / June 1975 / Remastered 2011,244386,Thursday,12
2019-01-03 12:21:00,Queen,Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,63440,Thursday,12
2019-01-03 12:24:00,Queen,You’re My Best Friend - Backing Track Mix,177880,Thursday,12
2019-01-03 12:25:00,Queen,I’m In Love With My Car - Guitar & Vocal Mix / 2011,23883,Thursday,12
2019-01-03 13:58:00,Rammstein,Sonne,272440,Thursday,13
2019-01-03 14:01:00,Rammstein,Feuer frei!,188600,Thursday,14
2019-01-03 14:05:00,Rammstein,Engel,264266,Thursday,14
2019-01-03 14:09:00,Rammstein,Ich will,217106,Thursday,14
2019-01-03 14:13:00,Rammstein,AMERIKA,226760,Thursday,14
2019-01-03 14:17:00,Rammstein,Mein Herz brennt,279893,Thursday,14
2019-01-03 14:21:00,Rammstein,ICH TU DIR WEH,205893,Thursday,14
2019-01-03 17:57:00,Dire Straits,On Every Street,18400,Thursday,17
2019-01-03 18:17:00,The Black Keys,Weight of Love,410186,Thursday,18
2019-01-03 18:21:00,The Black Keys,In Time,268120,Thursday,18
2019-01-03 18:25:00,The Black Keys,Turn Blue,222960,Thursday,18
2019-01-03 18:29:00,The Black Keys,Fever,246306,Thursday,18
2019-01-03 18:33:00,The Black Keys,Year in Review,228120,Thursday,18
2019-01-03 18:37:00,The Black Keys,Bullet in the Brain,255946,Thursday,18
2019-01-03 18:40:00,The Black Keys,It's Up to You Now,190720,Thursday,18
2019-01-03 18:44:00,The Black Keys,Waiting on Words,217120,Thursday,18
2019-01-03 18:48:00,The Black Keys,10 Lovers,213226,Thursday,18
2019-01-03 18:52:00,The Black Keys,In Our Prime,278106,Thursday,18
2019-01-03 18:54:00,The Black Keys,Gotta Get Away,67316,Thursday,18
2019-01-03 18:59:00,Pink Floyd,Wish You Were Here - 2011 Remastered Version,334743,Thursday,18
2019-01-03 19:03:00,Pink Floyd,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",238746,Thursday,19
2019-01-03 19:05:00,Pink Floyd,Comfortably Numb - 2011 Remastered Version,103269,Thursday,19
2019-01-03 19:11:00,Pink Floyd,Money - 2011 Remastered Version,382834,Thursday,19
2019-01-03 19:18:00,Pink Floyd,Time - 2011 Remastered Version,413947,Thursday,19
2019-01-03 19:21:00,Pink Floyd,Breathe (In The Air) - 2011 Remastered Version,169534,Thursday,19
2019-01-03 19:26:00,Pink Floyd,Hey You - 2011 Remastered Version,278440,Thursday,19
2019-01-03 19:31:00,Pink Floyd,The Great Gig In The Sky - 2011 Remastered Version,283872,Thursday,19
2019-01-03 19:38:00,Pink Floyd,Us And Them - 2011 Remastered Version,469224,Thursday,19
2019-01-03 20:42:00,Pink Floyd,Brain Damage - 2011 Remastered Version,117606,Thursday,20
2019-01-03 21:12:00,Kings of Leon,Sex on Fire,203346,Thursday,21
2019-01-03 21:16:00,Kings of Leon,Closer,237480,Thursday,21
2019-01-03 21:20:00,Kings of Leon,Crawl,246413,Thursday,21
2019-01-03 21:23:00,Kings of Leon,Sex on Fire,203346,Thursday,21
2019-01-03 21:27:00,Kings of Leon,Use Somebody,230760,Thursday,21
2019-01-03 21:31:00,Kings of Leon,Manhattan,204226,Thursday,21
2019-01-03 21:34:00,Kings of Leon,Revelry,201733,Thursday,21
2019-01-03 21:37:00,Kings of Leon,17,185373,Thursday,21
2019-01-03 21:40:00,Kings of Leon,Notion,180840,Thursday,21
2019-01-03 21:45:00,Kings of Leon,I Want You,307453,Thursday,21
2019-01-03 21:49:00,Kings of Leon,Be Somebody,227146,Thursday,21
2019-01-03 21:55:00,Kings of Leon,Cold Desert,334706,Thursday,21
2019-01-03 21:58:00,Kings of Leon,Around The World,214040,Thursday,21
2019-01-03 22:02:00,Arctic Monkeys,Do Me a Favour,209253,Thursday,22
2019-01-03 22:06:00,Editors,Ocean of Night,27170,Thursday,22
2019-01-03 22:06:00,Franz Ferdinand,Take Me Out,237026,Thursday,22
2019-01-03 22:10:00,Cage The Elephant,Cold Cold Cold,214386,Thursday,22
2019-01-03 22:13:00,Arctic Monkeys,R U Mine?,201726,Thursday,22
2019-01-03 22:14:00,The Strokes,Welcome To Japan,83280,Thursday,22
2019-01-03 22:15:00,The Strokes,Welcome To Japan,16126,Thursday,22
2019-01-03 22:18:00,Boney M.,Rasputin,220666,Thursday,22
2019-01-03 22:22:00,The Kooks,Bad Habit,198425,Thursday,22
2019-01-03 22:25:00,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),194101,Thursday,22
2019-01-03 22:28:00,Dolly Parton,Jolene,161533,Thursday,22
2019-01-03 22:31:00,Dimmu Borgir,Interdimensional Summit,16380,Thursday,22
2019-01-03 22:31:00,Wolfgang Sauer,Warum strahlen heut' Nacht die Sterne so hell,134745,Thursday,22
2019-01-03 22:32:00,Dimmu Borgir,Interdimensional Summit,13838,Thursday,22
2019-01-03 22:33:00,Dimmu Borgir,Mourning Palace,51017,Thursday,22
2019-01-03 22:37:00,Bishop Briggs,The Fire,183173,Thursday,22
2019-01-03 22:41:00,James Bay,Pink Lemonade,252906,Thursday,22
2019-01-03 22:43:00,Halsey,Lie,126021,Thursday,22
2019-01-03 22:44:00,Kanye West,I Love Kanye,44826,Thursday,22
2019-01-03 22:47:00,Lady Gaga,John Wayne,174306,Thursday,22
2019-01-03 22:49:00,Lady Gaga,ScheiBe,99617,Thursday,22
2019-01-03 22:53:00,Rammstein,Du hast,234226,Thursday,22
2019-01-03 22:58:00,Rammstein,Sonne,255050,Thursday,22
2019-01-03 23:01:00,Red Hot Chili Peppers,Million Miles of Water,238480,Thursday,23
2019-01-03 23:05:00,Alex Turner,Stuck on the puzzle,211053,Thursday,23
2019-01-03 23:08:00,Alex Turner,Piledriver waltz,204880,Thursday,23
2019-01-03 23:12:00,Alex Turner,Hiding tonight,186720,Thursday,23
2019-01-03 23:16:00,Alex Turner,It's hard to get around the wind,247013,Thursday,23
2019-01-03 23:20:00,Alex Turner,Glass in the park,239653,Thursday,23
2019-01-03 23:21:00,Alex Turner,Stuck on the puzzle - intro,53760,Thursday,23
2019-01-03 23:22:00,Alex Turner,Stuck on the puzzle - intro,53760,Thursday,23
2019-01-03 23:25:00,Alex Turner,Glass in the park,18210,Thursday,23
2019-01-03 23:25:00,Alex Turner,Hiding tonight,186720,Thursday,23
2019-01-04 06:58:00,The Kooks,Bad Habit,194700,Friday,6
2019-01-04 07:03:00,Arctic Monkeys,The View From The Afternoon,263716,Friday,7
2019-01-04 07:04:00,Arctic Monkeys,Cigarette Smoker Fiona,80007,Friday,7
2019-01-04 07:06:00,Arctic Monkeys,You Probably Couldn't See For The Lights But You Were Staring Straight At Me,130813,Friday,7
2019-01-04 07:09:00,Arctic Monkeys,Still Take You Home,173666,Friday,7
2019-01-04 07:35:00,Portugal. The Man,Feel It Still,42726,Friday,7
2019-01-04 08:17:00,Queens of the Stone Age,No One Knows,278746,Friday,8
2019-01-04 08:22:00,Queens of the Stone Age,The Way You Used to Do,274281,Friday,8
2019-01-04 08:26:00,Queens of the Stone Age,I Sat By The Ocean,235586,Friday,8
2019-01-04 08:29:00,Queens of the Stone Age,Go With The Flow,187146,Friday,8
2019-01-04 08:35:00,Queens of the Stone Age,Feet Don't Fail Me,341824,Friday,8
2019-01-04 08:36:00,Queens of the Stone Age,No One Knows,56563,Friday,8
2019-01-05 12:06:00,Paul McCartney,Say Say Say - Remastered 2015,121799,Saturday,12
2019-01-05 12:23:00,Paul McCartney,Say Say Say - Remastered 2015,109811,Saturday,12
2019-01-05 12:25:00,Arctic Monkeys,Dancing Shoes,141133,Saturday,12
2019-01-05 12:27:00,Arctic Monkeys,You Probably Couldn't See For The Lights But You Were Staring Straight At Me,43349,Saturday,12
2019-01-05 12:34:00,Arctic Monkeys,A Certain Romance,331200,Saturday,12
2019-01-05 12:35:00,Pharoahe Monch,Simon Says,55896,Saturday,12
2019-01-05 12:40:00,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,258342,Saturday,12
2019-01-05 18:51:00,Blakroc feat. Nicole Wray & NOE,Done Did It,228207,Saturday,18
2019-01-05 18:55:00,Blakroc feat. Jim Jones & Mos Def,Ain't Nothing Like You (Hoochie Coo),199040,Saturday,18
2019-01-05 18:58:00,Blakroc feat. Jim Jones & Mos Def,Ain't Nothing Like You (Hoochie Coo),199040,Saturday,18
2019-01-05 19:00:00,"Blakroc feat. Billy Danze, Nicole Wray & Q-Tip",Hope You're Happy,131240,Saturday,19
2019-01-05 19:04:00,Blakroc feat. RZA,Tellin' Me Things,149841,Saturday,19
2019-01-05 19:21:00,The Black Keys,Lonely Boy,18760,Saturday,19
2019-01-05 19:25:00,The Black Keys,Everlasting Light,204626,Saturday,19
